"Meshcode","Shicode","PopT","Pop0_14","Pop15_64","Pop65over","Pop75over","Pop85over"
6340376979,1205,8.9728,0.6409,4.1659,4.1659,2.6705,1.2818
6340376986,1205,3.3368,0.1043,1.3034,1.9291,0.9906,0.3650
6340376987,1205,5.7018,0.2209,2.3056,3.1752,1.6935,0.6592
6340376988,1205,7.0722,0.5052,3.2835,3.2835,2.1048,1.0103
6340376989,1205,12.3003,0.8786,5.7109,5.7109,3.6608,1.7572
6340376995,1205,8.6379,0.2699,3.3742,4.9938,2.5644,0.9448
6340376996,1205,28.2799,0.8837,11.0468,16.3493,8.3956,3.0931
6340376997,1205,19.9976,0.6607,7.8772,11.4598,5.9375,2.2171
6340376998,1205,12.6046,0.9003,5.8521,5.8521,3.7514,1.8007
6340376999,1205,41.0961,2.9354,19.0803,19.0803,12.2310,5.8709
6340377699,1205,14.0000,0.0000,2.0000,12.0000,12.0000,3.0000
6340377704,1205,0.6507,0.0000,0.2324,0.4183,0.1394,0.0465
6340377705,1205,15.4411,1.0550,5.6586,8.7276,5.1790,1.3907
6340377706,1205,50.3572,3.4406,18.4539,28.4628,16.8900,4.5353
6340377707,1205,17.1167,0.2022,5.7818,11.1328,5.4674,1.5161
6340377713,1205,1.2548,0.0000,0.4481,0.8066,0.2689,0.0896
6340377714,1205,0.6776,0.0000,0.2420,0.4356,0.1452,0.0484
6340377715,1205,77.0877,5.2669,28.2495,43.5713,25.8555,6.9427
6340377716,1205,54.2087,3.7037,19.8653,30.6397,18.1818,4.8822
6340377717,1205,60.5424,3.8715,22.0519,34.6190,20.2312,5.4456
6340377718,1205,17.8341,0.1578,5.9973,11.6789,5.6816,1.5782
6340377719,1205,25.5821,0.2264,8.6028,16.7529,8.1501,2.2639
6340377723,1205,0.3419,0.0000,0.1221,0.2198,0.0733,0.0244
6340377724,1205,3.4906,0.0000,1.2466,2.2440,0.7480,0.2493
6340377725,1205,56.2962,6.1723,23.3555,26.6858,16.2532,5.9465
6340377726,1205,58.0641,6.2885,23.9980,27.6952,16.8514,6.1040
6340377727,1205,57.3465,5.8646,23.4929,27.9489,14.9357,5.2148
6340377728,1205,51.8012,6.0476,22.1440,23.6096,9.7926,3.7237
6340377729,1205,59.6159,6.6914,25.2577,27.6668,11.5923,4.3268
6340377734,1205,5.9897,0.0000,2.1392,3.8505,1.2835,0.4278
6340377735,1205,62.4185,8.7354,28.1121,25.4121,15.8826,7.3060
6340377736,1205,62.4973,8.7464,28.1476,25.4442,15.9026,7.3152
6340377737,1205,65.6458,10.5634,30.5862,24.4397,11.0010,5.3554
6340377738,1205,48.8169,8.3790,23.1334,17.3045,6.0110,3.0966
6340377739,1205,27.1552,4.6610,12.8683,9.6259,3.3437,1.7225
6340377744,1205,1.5947,0.0000,0.5695,1.0252,0.3417,0.1139
6340377745,1205,61.1425,8.5568,27.5375,24.8926,15.5579,7.1566
6340377746,1205,92.6342,12.9641,41.7207,37.7137,23.5710,10.8427
6340377747,1205,11.4803,1.6067,5.1705,4.6739,2.9212,1.3437
6340377748,1205,27.1854,4.6662,12.8826,9.6366,3.3475,1.7244
6340377749,1205,35.7300,6.1328,16.9318,12.6655,4.3996,2.2665
6340377754,1205,4.0718,0.0000,2.7688,1.3030,0.3257,0.1629
6340377755,1205,44.1770,2.8171,18.4391,22.9208,11.2683,2.8171
6340377756,1205,72.5928,4.6291,30.2996,37.6641,18.5164,4.6291
6340377757,1205,44.6339,4.1408,20.2761,20.0671,9.9676,2.8666
6340377758,1205,22.7465,2.8638,11.2914,8.4277,4.2547,1.4728
6340377759,1205,19.4709,2.4514,9.6654,7.2140,3.6420,1.2607
6340377764,1205,4.5688,0.0000,3.1068,1.4620,0.3655,0.1828
6340377765,1205,63.3377,4.0389,26.4366,32.8622,16.1557,4.0389
6340377766,1205,58.5600,3.7343,24.4424,30.3833,14.9370,3.7343
6340377767,1205,58.4725,5.4540,26.6000,26.2188,13.0258,3.7559
6340377768,1205,59.5578,7.4983,29.5646,22.0664,11.1403,3.8563
