from_stop,to_stop,departure_sec,arrival_sec,travel_time,trip_id,type
1585_11,1575_11,19800,19920,120,1-平日など_05時30分_系統521310,bus
1575_11,1595_11,19920,19980,60,1-平日など_05時30分_系統521310,bus
1595_11,1525_11,19980,20040,60,1-平日など_05時30分_系統521310,bus
1525_11,1506_11,20040,20100,60,1-平日など_05時30分_系統521310,bus
1506_11,1505_11,20100,20160,60,1-平日など_05時30分_系統521310,bus
1505_11,1494_11,20160,20400,240,1-平日など_05時30分_系統521310,bus
1484_11,1492_10,20400,20460,60,1-平日など_05時30分_系統521310,bus
1286_11,1454_11,20460,20580,120,1-平日など_05時30分_系統521310,bus
1454_11,1294_11,20580,20700,120,1-平日など_05時30分_系統521310,bus
1294_11,1285_11,20700,20760,60,1-平日など_05時30分_系統521310,bus
1285_11,1284_11,20760,20880,120,1-平日など_05時30分_系統521310,bus
1284_11,1274_11,20880,21000,120,1-平日など_05時30分_系統521310,bus
1274_11,1216_11,21000,21180,180,1-平日など_05時30分_系統521310,bus
1216_11,1215_11,21180,21300,120,1-平日など_05時30分_系統521310,bus
1215_11,1214_11,21300,21420,120,1-平日など_05時30分_系統521310,bus
1214_11,1213_11,21420,21480,60,1-平日など_05時30分_系統521310,bus
1213_11,1205_11,21480,21600,120,1-平日など_05時30分_系統521310,bus
1205_11,2961_11,21600,21660,60,1-平日など_05時30分_系統521310,bus
2961_11,2942_11,21660,21780,120,1-平日など_05時30分_系統521310,bus
2943_11,2941_11,21780,21840,60,1-平日など_05時30分_系統521310,bus
2941_11,2932_11,21840,22020,180,1-平日など_05時30分_系統521310,bus
2932_11,2931_11,22020,22140,120,1-平日など_05時30分_系統521310,bus
2931_11,2911_11,22140,22200,60,1-平日など_05時30分_系統521310,bus
2911_11,2891_11,22200,22500,300,1-平日など_05時30分_系統521310,bus
2891_11,2882_11,22500,22680,180,1-平日など_05時30分_系統521310,bus
2882_11,2881_11,22680,22740,60,1-平日など_05時30分_系統521310,bus
2881_11,2771_11,22740,22860,120,1-平日など_05時30分_系統521310,bus
2761_11,2747_11,22860,22920,60,1-平日など_05時30分_系統521310,bus
2747_11,2746_11,22920,23040,120,1-平日など_05時30分_系統521310,bus
2746_11,2745_11,23040,23160,120,1-平日など_05時30分_系統521310,bus
2745_11,2744_11,23160,23220,60,1-平日など_05時30分_系統521310,bus
2744_11,2743_11,23220,23280,60,1-平日など_05時30分_系統521310,bus
2743_11,2742_11,23280,23340,60,1-平日など_05時30分_系統521310,bus
2742_11,2741_11,23340,23400,60,1-平日など_05時30分_系統521310,bus
2741_11,2551_11,23400,23460,60,1-平日など_05時30分_系統521310,bus
2551_11,2531_11,23460,23640,180,1-平日など_05時30分_系統521310,bus
2531_11,2523_11,23640,23760,120,1-平日など_05時30分_系統521310,bus
2523_11,2522_11,23760,23820,60,1-平日など_05時30分_系統521310,bus
2522_11,2521_11,23820,23880,60,1-平日など_05時30分_系統521310,bus
2521_11,2514_11,23880,24000,120,1-平日など_05時30分_系統521310,bus
2514_11,2513_11,24000,24060,60,1-平日など_05時30分_系統521310,bus
2513_11,2512_11,24060,24180,120,1-平日など_05時30分_系統521310,bus
2512_11,2511_11,24180,24300,120,1-平日など_05時30分_系統521310,bus
2511_11,2332_11,24300,24360,60,1-平日など_05時30分_系統521310,bus
2332_11,2331_11,24360,24540,180,1-平日など_05時30分_系統521310,bus
2331_11,2321_11,24540,24600,60,1-平日など_05時30分_系統521310,bus
2321_11,2311_10,24600,24780,180,1-平日など_05時30分_系統521310,bus
2311_10,2304_11,24780,24840,60,1-平日など_05時30分_系統521310,bus
2304_11,2303_11,24840,24960,120,1-平日など_05時30分_系統521310,bus
2303_11,2302_11,24960,25020,60,1-平日など_05時30分_系統521310,bus
2302_11,2301_11,25020,25080,60,1-平日など_05時30分_系統521310,bus
2292_11,2291_11,25080,25140,60,1-平日など_05時30分_系統521310,bus
