name,type,latitude,longitude
室蘭市立室蘭西中学校,中学校,42.312695,140.979407
室蘭市立星蘭中学校,中学校,42.308889,140.991778
室蘭市立本室蘭中学校,中学校,42.375704,140.939215
室蘭市立東明中学校,中学校,42.370524,141.032032
室蘭市立桜蘭中学校,中学校,42.359321,141.02074
室蘭市立港北中学校,中学校,42.370094,140.990073
室蘭市立翔陽中学校,中学校,42.338922,141.021926
海星学院中学校,中学校,42.366312,141.031582
室蘭工業大学,大学,42.377304,141.032879
北斗文化学園インターナショナル調理技術専門学校,専修学校,42.315845,140.978473
北海道福祉教育専門学校,専修学校,42.313564,140.991673
市立室蘭看護専門学院,専修学校,42.367116,141.034699
日鋼記念看護学校,専修学校,42.314996,140.984529
室蘭市立みなと小学校,小学校,42.331982,140.952729
室蘭市立八丁平小学校,小学校,42.371917,141.014826
室蘭市立喜門岱小学校,小学校,42.3938,140.968807
室蘭市立地球岬小学校,小学校,42.312107,140.989467
室蘭市立天神小学校,小学校,42.37483,141.032979
室蘭市立旭ヶ丘小学校,小学校,42.356154,141.023084
室蘭市立海陽小学校,小学校,42.342121,141.028118
室蘭市立白蘭小学校,小学校,42.37438,140.93441
室蘭市立蘭北小学校,小学校,42.364595,140.996153
すみれ文化幼稚園,幼稚園,42.312754,140.993903
ピノキオ幼稚園,幼稚園,42.375571,140.936221
ベネディクト幼稚園,幼稚園,42.364961,141.032132
八丁平美園幼稚園,幼稚園,42.364406,141.007978
室蘭中島幼稚園,幼稚園,42.353344,141.007841
室蘭美園幼稚園,幼稚園,42.343789,141.023444
文化学園大学附属幼稚園,幼稚園,42.365691,141.035518
桜ケ丘幼稚園,幼稚園,42.36362,140.989604
J.FUKUDA DENTAL CLINIC,歯科,42.354072,141.015965
ありじ歯科クリニック,歯科,42.35168,141.026961
いちはし歯科,歯科,42.363298,140.980354
すずき歯科医院,歯科,42.371461,141.035556
みうら歯科,歯科,42.361169,140.987997
エルム歯科中央診療所,歯科,42.316108,140.971236
エルム歯科蘭東診療所,歯科,42.352018,141.017525
グリーン・デンタル・クリニック,歯科,42.366786,141.007976
八丁平歯科医院,歯科,42.371593,141.012077
医療法人社団いしい歯科,歯科,42.345522,141.028707
医療法人社団ちりべつファミリー歯科医院,歯科,42.362906,141.024593
医療法人社団サイトウ歯科医院,歯科,42.354291,141.042515
医療法人社団多田歯科医院,歯科,42.316317,140.972584
医療法人社団奥村歯科医院,歯科,42.314206,140.990104
医療法人社団川本歯科医院,歯科,42.35136,141.01695
医療法人社団日昇会太平洋歯科医院,歯科,42.378233,140.940825
医療法人社団松田歯科医院,歯科,42.354317,141.035688
医療法人社団林歯科医院,歯科,42.361707,141.040801
医療法人社団横山歯科医院,歯科,42.315724,140.989295
医療法人社団福田歯科クリニック,歯科,42.340547,140.950843
宇賀歯科医院,歯科,42.317795,140.970712
小野瀬歯科医院,歯科,42.342244,141.02595
山本歯科,歯科,42.361042,141.023356
岡田歯科医院,歯科,42.353629,141.022148
岩倉歯科,歯科,42.376428,141.032598
御前水歯科クリニック,歯科,42.321155,140.997398
本田歯科,歯科,42.334672,140.957492
柴田歯科　Takasago Dental Office,歯科,42.366441,141.032536
柴田歯科医院,歯科,42.355056,141.019099
森歯科クリニック,歯科,42.360641,140.986851
水野歯科医院,歯科,42.346393,141.026943
海岸町歯科クリニック,歯科,42.319683,140.972358
由川歯科医院,歯科,42.351969,141.020851
福田歯科医院,歯科,42.336095,141.012005
谷口歯科医院,歯科,42.321541,140.996709
金子歯科医院,歯科,42.34179,141.024692
高砂公園歯科,歯科,42.359143,141.031866
高砂歯科医院,歯科,42.376162,141.036839
髙橋歯科クリニック,歯科,42.380532,140.944108
Ａｑｕａ矯正歯科,歯科,42.351468,141.022449
北海道室蘭聾学校,特別支援学校,42.385742,141.03179
北海道室蘭養護学校,特別支援学校,42.379177,141.012487
三村病院,病院,42.352242,141.023586
医療法人室蘭太平洋病院,病院,42.379338,140.942211
医療法人社団上田病院,病院,42.346763,141.029015
大川原脳神経外科病院,病院,42.348144,141.03096
市立室蘭総合病院,病院,42.313567,140.976385
日鋼記念病院,病院,42.315652,140.985174
社会医療法人製鉄記念室蘭病院,病院,42.357482,141.017154
あとう内科クリニック,診療所,42.35624,141.020522
さはら呼吸器内科クリニック,診療所,42.350989,141.020211
ちりべつ循環器内科クリニック,診療所,42.362906,141.024593
ひがしまち皮膚科クリニック,診療所,42.3458,141.026748
ふじかね内科医院,診療所,42.333583,141.0071
まつもと脳神経外科クリニック,診療所,42.356376,141.020595
むろらん神経内科クリニック,診療所,42.355436,141.019057
サテライトクリニック知利別,診療所,42.356154,141.018936
モルエ　アイ　クリニック,診療所,42.35304,141.013148
