stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
1_01,,絵鞆団地,,42.3324005,140.936739,1_01,,0,,
2_01,,絵鞆２丁目,,42.3345594,140.9398813,2_01,,0,,
2_02,,絵鞆２丁目,,42.3341415,140.9408348,2_02,,0,,
3_01,,絵鞆中央,,42.3359123,140.9397081,3_01,,0,,
3_02,,絵鞆中央,,42.3358128,140.9384056,3_02,,0,,
4_01,,絵鞆公園前,,42.3363491,140.9341338,4_01,,0,,
5_01,,公営住宅前（室蘭）,,42.3344028,140.9339236,5_01,,0,,
11_01,,絵鞆１丁目,,42.3349796,140.9414742,11_01,,0,,
11_02,,絵鞆１丁目,,42.3347166,140.942363,11_02,,0,,
12_01,,緑丘,,42.335698,140.9466517,12_01,,0,,
12_02,,緑丘,,42.3354122,140.9467356,12_02,,0,,
13_01,,祝津公園入口,,42.3387377,140.947496,13_01,,0,,
13_02,,祝津公園入口,,42.3386594,140.947618,13_02,,0,,
14_01,,祝津町２丁目,,42.3404642,140.9500926,14_01,,0,,
14_02,,祝津町２丁目,,42.340379,140.9501687,14_02,,0,,
15_01,,室蘭築港,,42.3403281,140.9514339,15_01,,0,,
15_02,,室蘭築港,,42.3400139,140.9515551,15_02,,0,,
16_01,,ドック前,,42.3392028,140.9530625,16_01,,0,,
16_02,,ドック前,,42.338999,140.9530342,16_02,,0,,
17_01,,楢崎造船前,,42.3375508,140.9560656,17_01,,0,,
17_02,,楢崎造船前,,42.337258,140.9561436,17_02,,0,,
21_01,,養護老人ホームあいらん前,,42.3325914,140.9434428,21_01,,0,,
21_02,,養護老人ホームあいらん前,,42.3329202,140.9429205,21_02,,0,,
22_01,,港南町入口,,42.3296956,140.9480402,22_01,,0,,
22_02,,港南町入口,,42.3296564,140.9470408,22_02,,0,,
23_01,,港南町２丁目,,42.3296783,140.951736,23_01,,0,,
23_02,,港南町２丁目,,42.3296758,140.9510622,23_02,,0,,
31_32,,清水丘高校前,,42.322315,140.95046,31_32,,0,,
32_01,,増市通,,42.3259973,140.9509584,32_01,,0,,
33_01,,桜ケ丘,,42.3279494,140.9531319,33_01,,0,,
33_02,,桜ケ丘,,42.3281862,140.9530307,33_02,,0,,
41_01,,みなと小学校前,,42.3324463,140.9540821,41_01,,0,,
41_02,,みなと小学校前,,42.3322611,140.9540945,41_02,,0,,
42_01,,港南町１丁目,,42.3342242,140.9562404,42_01,,0,,
42_02,,港南町１丁目,,42.3338395,140.9558871,42_02,,0,,
51_01,,港南町,,42.3348761,140.9597113,51_01,,0,,
51_02,,港南町,,42.3350589,140.9590234,51_02,,0,,
52_01,,小橋内,,42.3333028,140.9625849,52_01,,0,,
52_02,,小橋内,,42.3339851,140.9612043,52_02,,0,,
53_01,,小橋内１丁目,,42.3312914,140.9650575,53_01,,0,,
53_02,,小橋内１丁目,,42.3319981,140.9639184,53_02,,0,,
61_01,,通船前,,42.3267293,140.9682899,61_01,,0,,
61_02,,通船前,,42.3280761,140.9676168,61_02,,0,,
71_01,,中央埠頭入口,,42.3255433,140.9686818,71_01,,0,,
71_02,,中央埠頭入口,,42.3255251,140.9684898,71_02,,0,,
81_03,,室蘭観光協会前,,42.3217891,140.9703408,81_03,,0,,
81_04,,室蘭観光協会前,,42.3217208,140.9701754,81_04,,0,,
81_06,,室蘭観光協会前,,42.3216027638149,140.970482982755,81_06,,0,,
82_02,,室蘭駅前,,42.3177339,140.9736236,82_02,,0,,
82_04,,室蘭駅前,,42.3176286928185,140.973751078023,82_04,,0,,
83_01,,室蘭駅前広場,,42.3179750444688,140.973592827361,83_01,,0,,
2572_10,,共栄（平取）,,42.546788,142.063936142857,2572_10,,0,,
2572_11,,共栄（平取）,,42.546257,142.063139,2572_11,,0,,
1492_10,,新冠農協前,,42.360765,142.312204,1492_10,,0,,
101_01,,中央町,,42.3191793,140.9706756,101_01,,0,,
101_02,,中央町,,42.3189327,140.9707217,101_02,,0,,
101_03,,中央町,,42.3188691,140.9707316,101_03,,0,,
111_01,,小公園前,,42.3169624,140.9712212,111_01,,0,,
112_01,,市役所前(室蘭),,42.3151437,140.9751783,112_01,,0,,
112_02,,市役所前(室蘭),,42.3151699,140.9751741,112_02,,0,,
113_01,,市役所北,,42.316032,140.9734953,113_01,,0,,
114_01,,市立病院前,,42.3144513,140.9757242,114_01,,0,,
114_02,,市立病院前,,42.3141545,140.9755693,114_02,,0,,
115_01,,千歳交差点,,42.3166883,140.9756606,115_01,,0,,
2067_10,,日高東別,,42.281109,142.520444571429,2067_10,,0,,
2067_11,,日高東別,,42.2805591,142.5192,2067_11,,0,,
2068_10,,西端生活館,,42.283046,142.527882,2068_10,,0,,
2098_10,,蓬栄,,42.264941,142.604808,2098_10,,0,,
2098_11,,蓬栄,,42.264863,142.604842,2098_11,,0,,
141_01,,ＮＨＫ前,,42.3168749,140.9789809,141_01,,0,,
141_02,,ＮＨＫ前,,42.3166312,140.9798023,141_02,,0,,
142_01,,日鋼記念病院前,,42.3170985,140.9853533,142_01,,0,,
142_02,,日鋼記念病院前,,42.3168907,140.9837395,142_02,,0,,
151_01,,母恋駅前,,42.317109,140.9898237,151_01,,0,,
151_02,,母恋駅前,,42.3168958,140.9880817,151_02,,0,,
151_03,,母恋駅前,,42.316463,140.9897608,151_03,,0,,
161_01,,北町中央,,42.3147861,140.9905804,161_01,,0,,
161_02,,北町中央,,42.3137648,140.9909587,161_02,,0,,
