table_name,field_name,field_value,language,translation
stops,stop_name,絵鞆団地,ja-Hrkt,えともだんち
stops,stop_name,絵鞆２丁目,ja-Hrkt,えとも２ちょうめ
stops,stop_name,絵鞆中央,ja-Hrkt,えともちゅうおう
stops,stop_name,絵鞆公園前,ja-Hrkt,えともこうえんまえ
stops,stop_name,公営住宅前（室蘭）,ja-Hrkt,こうえいじゅうたくまえ
stops,stop_name,絵鞆１丁目,ja-Hrkt,えとも１ちょうめ
stops,stop_name,緑丘,ja-Hrkt,みどりおか
stops,stop_name,祝津公園入口,ja-Hrkt,しゅくづこうえんいりぐち
stops,stop_name,祝津町２丁目,ja-Hrkt,しゅくづちょう２ちょうめ
stops,stop_name,室蘭築港,ja-Hrkt,むろらんちっこう
stops,stop_name,ドック前,ja-Hrkt,どっくまえ
stops,stop_name,楢崎造船前,ja-Hrkt,ならさきぞうせんまえ
stops,stop_name,養護老人ホームあいらん前,ja-Hrkt,ようごろうじんほーむあいらんまえ
stops,stop_name,港南町入口,ja-Hrkt,こうなんちょういりぐち
stops,stop_name,港南町２丁目,ja-Hrkt,こうなんちょう２ちょうめ
stops,stop_name,清水丘高校前,ja-Hrkt,しみずがおかこうこうまえ
stops,stop_name,増市通,ja-Hrkt,ますいちどおり
stops,stop_name,桜ケ丘,ja-Hrkt,さくらがおか
stops,stop_name,みなと小学校前,ja-Hrkt,みなとしょうがっこうまえ
stops,stop_name,港南町１丁目,ja-Hrkt,こうなんちょう１ちょうめ
stops,stop_name,港南町,ja-Hrkt,こうなんちょう
stops,stop_name,小橋内,ja-Hrkt,おはしない
stops,stop_name,小橋内１丁目,ja-Hrkt,おはしない１ちょうめ
stops,stop_name,通船前,ja-Hrkt,つうせんまえ
stops,stop_name,中央埠頭入口,ja-Hrkt,ちゅうおうふとういりぐち
stops,stop_name,室蘭観光協会前,ja-Hrkt,むろらんかんこうきょうかいまえ
stops,stop_name,室蘭駅前,ja-Hrkt,むろらんえきまえ
stops,stop_name,室蘭駅前広場,ja-Hrkt,むろらんえきまえひろば
stops,stop_name,共栄（平取）,ja-Hrkt,きょうえい
stops,stop_name,新冠農協前,ja-Hrkt,にいかっぷのうきょうまえ
stops,stop_name,中央町,ja-Hrkt,ちゅうおうちょう
stops,stop_name,小公園前,ja-Hrkt,しょうこうえんまえ
stops,stop_name,市役所前(室蘭),ja-Hrkt,しやくしょまえ
stops,stop_name,市役所北,ja-Hrkt,しやくしょきた
stops,stop_name,市立病院前,ja-Hrkt,しりつびょういんまえ
stops,stop_name,千歳交差点,ja-Hrkt,ちとせこうさてん
stops,stop_name,日高東別,ja-Hrkt,ひだかとうべつ
stops,stop_name,西端生活館,ja-Hrkt,にしはたせいかつかん
stops,stop_name,蓬栄,ja-Hrkt,ほうえい
stops,stop_name,ＮＨＫ前,ja-Hrkt,えぬえいちけーまえ
stops,stop_name,日鋼記念病院前,ja-Hrkt,にっこうきねんびょういんまえ
stops,stop_name,母恋駅前,ja-Hrkt,ぼこいえきまえ
stops,stop_name,北町中央,ja-Hrkt,きたまちちゅうおう
stops,stop_name,交番前,ja-Hrkt,こうばんまえ
stops,stop_name,南町２丁目,ja-Hrkt,みなみまち２ちょうめ
stops,stop_name,宮前,ja-Hrkt,みやまえ
stops,stop_name,南町４丁目,ja-Hrkt,みなみまち４ちょうめ
stops,stop_name,地球岬団地,ja-Hrkt,ちきゅうみさきだんち
stops,stop_name,ラッパ森,ja-Hrkt,らっぱもり
stops,stop_name,御前水,ja-Hrkt,ごぜんすい
stops,stop_name,御崎アパート前,ja-Hrkt,みさきあぱーとまえ
stops,stop_name,御崎駅前,ja-Hrkt,みさきえきまえ
stops,stop_name,鉄原前,ja-Hrkt,てつげんまえ
stops,stop_name,トヨタ前,ja-Hrkt,とよたまえ
stops,stop_name,大沢１丁目,ja-Hrkt,おおさわ１ちょうめ
