route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,shape_id,bikes_allowed
苫小牧・静内線_B,1-平日など,1-平日など_05時30分_系統521310,苫小牧駅前（【快速】鵡川駅前 経由）§[静] 12,,,,521310,0
光洋ときわ線_A,1-平日など,1-平日など_05時50分_系統801220,苫小牧駅前（錦岡駅前 経由）§[錦] 8,,,,801220,0
千歳空港線_A,1-平日など,1-平日など_05時50分_系統520100,新千歳空港（緑町郵便局・植苗 経由）§[苫] 18,,,,520100,0
千代の台線_B,1-平日など,1-平日など_06時05分_系統113710,室蘭駅前広場（千代の台団地 経由）§[若] 17,,,,113710,0
みたら・水族館前工大線(120000),1-平日など,1-平日など_06時05分_系統120000,工大（東町ターミナル/鷲別 経由）§[東] 25,,,,120000,0
鉄北北口線_A,1-平日など,1-平日など_06時05分_系統800320,苫小牧営業所（日新３丁目 経由）§[錦] 41,,,,800320,0
高速ペガサス号_A,1-平日など,1-平日など_06時05分_系統720100,札幌駅前（（予約制） 経由）§[札] 64,,,,720100,0
室蘭駅前広場～登別温泉_A,1-平日など,1-平日など_06時05分_系統250300,登別温泉（汐平団地 経由）§[東] 24,,,,250300,0
胆振線_B,1-平日など,1-平日など_06時11分_系統951110,伊達駅前（壮瞥役場前 経由）§[伊] 11,,,,951110,0
苫小牧・静内線_A,1-平日など,1-平日など_06時13分_系統521700,静内高校前§[平] 3,,,,521700,0
羊蹄線_B,1-平日など,1-平日など_06時15分_系統370500,ルスツリゾート§[洞] 5,,,,370500,0
室蘭洞爺線_A,1-平日など,1-平日など_06時15分_系統270300,洞爺湖温泉（東町ターミナル/有珠 経由）§[東] 11,,,,270300,0
白鳥台線_A,1-平日など,1-平日など_06時17分_系統107710,東町ターミナル（白鳥台/東室蘭駅西口 経由）§[東] 32,,,,107710,0
みたら・水族館前工大線(120200),1-平日など,1-平日など_06時20分_系統120200,みたら・水族館前（中島町/絵鞆団地 経由）§[東] 17,,,,120200,0
日高～振内案内所～平取～富川高校_A,1-平日など,1-平日など_06時20分_系統990910,富川ターミナル とみくる§[平] 12,,,,990910,0
湖畔線_A,1-平日など,1-平日など_06時20分_系統330200,洞爺水の駅（花和入口 経由）§[洞] 22,,,,330200,0
ターミナル資料館線_B,1-平日など,1-平日など_06時20分_系統131110,東町ターミナル（幌別駅西口/若草小学校前 経由）§[若] 4,,,,131110,0
室蘭伊達線_B,1-平日など,1-平日など_06時20分_系統270210,室蘭駅前広場（白鳥台中央/東室蘭駅西口 経由）§[伊] 10,,,,270210,0
澄川錦岡線_A,1-平日など,1-平日など_06時25分_系統801120,苫小牧駅前（明徳橋 経由）§[錦] 23,,,,801120,0
静内～浦河_A,1-平日など,1-平日など_06時25分_系統502300,浦河老人ホーム前（本桐 経由）§[静] 5,,,,502300,0
鉄北北口線_A,1-平日など,1-平日など_06時30分_系統800320,苫小牧営業所（日新３丁目 経由）§[錦] 42,,,,800320,0
鉄北北口線_A,1-平日など,1-平日など_06時30分_系統800310,北洋大学（駅北口 経由）§[苫] 17,,,,800310,0
フェリー線_A,1-平日など,1-平日など_06時30分_系統802420,苫小牧駅前（西埠頭通 経由）§[苫] 53,,,,802420,0
西循環線(苫小牧)_A,1-平日など,1-平日など_06時33分_系統800710,永福１丁目（苫小牧駅前 経由）§[苫] 92,,,,800710,0
西循環線(苫小牧)_B,1-平日など,1-平日など_06時37分_系統800820,永福１丁目（啓北２丁目・日新３丁目 経由）§[苫] 37,,,,800820,0
室蘭伊達線_B,1-平日など,1-平日など_06時37分_系統270200,伊達駅前（東町ターミナル 経由）§[東] 47,,,,270200,0
絵鞆循環線_A,1-平日など,1-平日など_06時38分_系統109900,循13 地球岬団地（絵鞆団地/増市通 経由）§[東] 1,,,,109900,0
京極線_A,1-平日など,1-平日など_06時40分_系統950110,倶知安駅前（京極バスターミナル 経由）§[洞] 17,,,,950110,0
養護学校線_A,1-平日など,1-平日など_06時40分_系統132210,東町ターミナル（東室蘭駅西口 経由）§[東] 10,,,,132210,0
高速はやぶさ号_A,1-平日など,1-平日など_06時40分_系統300100,新千歳空港（予約制 経由）§[東] 71,,,,300100,0
