from_stop,to_stop,walk_time,distance,type
2_01,2_02,81,91.1,walk
2_02,2_01,81,91.1,walk
2_01,3_01,135,151.1,walk
3_01,2_01,135,151.1,walk
2_01,3_02,165,184.8,walk
3_02,2_01,165,184.8,walk
2_01,11_01,124,139.0,walk
11_01,2_01,124,139.0,walk
2_01,11_02,183,204.7,walk
11_02,2_01,183,204.7,walk
2_02,3_01,194,217.6,walk
3_01,2_02,194,217.6,walk
2_02,3_02,244,272.8,walk
3_02,2_02,244,272.8,walk
2_02,11_01,95,107.0,walk
11_01,2_02,95,107.0,walk
2_02,11_02,126,141.0,walk
11_02,2_02,126,141.0,walk
2_02,21_01,246,275.1,walk
21_01,2_02,246,275.1,walk
2_02,21_02,195,218.7,walk
21_02,2_02,195,218.7,walk
3_01,3_02,96,107.6,walk
3_02,3_01,96,107.6,walk
3_01,11_01,159,178.4,walk
11_01,3_01,159,178.4,walk
3_01,11_02,228,255.5,walk
11_02,3_01,228,255.5,walk
3_02,11_01,240,268.7,walk
11_01,3_02,240,268.7,walk
4_01,5_01,194,217.1,walk
5_01,4_01,194,217.1,walk
11_01,11_02,70,78.7,walk
11_02,11_01,70,78.7,walk
11_01,21_02,231,258.0,walk
21_02,11_01,231,258.0,walk
11_02,21_01,226,252.4,walk
21_01,11_02,226,252.4,walk
11_02,21_02,183,204.9,walk
21_02,11_02,183,204.9,walk
12_01,12_02,29,32.5,walk
12_02,12_01,29,32.5,walk
13_01,13_02,11,13.3,walk
13_02,13_01,11,13.3,walk
13_01,14_01,257,287.1,walk
14_01,13_01,257,287.1,walk
13_01,14_02,255,285.6,walk
14_02,13_01,255,285.6,walk
13_02,14_01,255,285.7,walk
14_01,13_02,255,285.7,walk
13_02,14_02,254,283.7,walk
14_02,13_02,254,283.7,walk
14_01,14_02,10,11.4,walk
14_02,14_01,10,11.4,walk
14_01,15_01,99,111.3,walk
15_01,14_01,99,111.3,walk
14_01,15_02,116,130.2,walk
15_02,14_01,116,130.2,walk
14_01,16_01,252,281.5,walk
16_01,14_01,252,281.5,walk
14_01,16_02,261,291.5,walk
16_02,14_01,261,291.5,walk
14_02,15_01,93,104.1,walk
15_01,14_02,93,104.1,walk
14_02,15_02,108,121.0,walk
15_02,14_02,108,121.0,walk
14_02,16_01,243,271.4,walk
16_01,14_02,243,271.4,walk
14_02,16_02,251,281.1,walk
16_02,14_02,251,281.1,walk
15_01,15_02,32,36.3,walk
15_02,15_01,32,36.3,walk
15_01,16_01,164,183.2,walk
16_01,15_01,164,183.2,walk
15_01,16_02,177,197.8,walk
16_02,15_01,177,197.8,walk
15_02,16_01,137,153.2,walk
16_01,15_02,137,153.2,walk
15_02,16_02,148,165.9,walk
16_02,15_02,148,165.9,walk
16_01,16_02,20,22.8,walk
16_02,16_01,20,22.8,walk
16_02,17_01,265,296.7,walk
17_01,16_02,265,296.7,walk
17_01,17_02,29,33.2,walk
17_02,17_01,29,33.2,walk
21_01,21_02,50,56.4,walk
21_02,21_01,50,56.4,walk
22_01,22_02,73,82.3,walk
22_02,22_01,73,82.3,walk
22_01,23_02,222,248.4,walk
23_02,22_01,222,248.4,walk
23_01,23_02,49,55.4,walk
23_02,23_01,49,55.4,walk
23_01,33_01,200,223.9,walk
33_01,23_01,200,223.9,walk
23_01,33_02,176,197.1,walk
33_02,23_01,176,197.1,walk
23_02,33_01,229,256.5,walk
33_01,23_02,229,256.5,walk
23_02,33_02,207,231.6,walk
33_02,23_02,207,231.6,walk
32_01,33_01,251,281.1,walk
33_01,32_01,251,281.1,walk
32_01,33_02,266,297.1,walk
33_02,32_01,266,297.1,walk
33_01,33_02,24,27.6,walk
33_02,33_01,24,27.6,walk
41_01,41_02,18,20.6,walk
41_02,41_01,18,20.6,walk
41_01,42_01,237,265.6,walk
42_01,41_01,237,265.6,walk
41_01,42_02,192,214.5,walk
42_02,41_01,192,214.5,walk
41_02,42_01,251,280.6,walk
42_01,41_02,251,280.6,walk
41_02,42_02,205,229.2,walk
42_02,41_02,205,229.2,walk
42_01,42_02,46,51.7,walk
42_02,42_01,46,51.7,walk
42_01,51_01,263,294.4,walk
51_01,42_01,263,294.4,walk
42_01,51_02,221,246.9,walk
51_02,42_01,221,246.9,walk
42_02,51_02,260,291.3,walk
51_02,42_02,260,291.3,walk
51_01,51_02,53,60.1,walk
51_02,51_01,53,60.1,walk
51_01,52_01,263,293.9,walk
52_01,51_01,263,293.9,walk
51_01,52_02,141,157.7,walk
52_02,51_01,141,157.7,walk
51_02,52_02,192,215.4,walk
52_02,51_02,192,215.4,walk
52_01,52_02,122,136.5,walk
52_02,52_01,122,136.5,walk
52_01,53_02,162,181.8,walk
53_02,52_01,162,181.8,walk
53_01,53_02,109,122.2,walk
53_02,53_01,109,122.2,walk
61_01,61_02,142,159.7,walk
61_02,61_01,142,159.7,walk
61_01,71_01,121,135.8,walk
71_01,61_01,121,135.8,walk
61_01,71_02,120,134.9,walk
71_02,61_01,120,134.9,walk
61_02,71_01,264,294.9,walk
71_01,61_02,264,294.9,walk
61_02,71_02,262,292.6,walk
71_02,61_02,262,292.6,walk
71_01,71_02,14,15.9,walk
71_02,71_01,14,15.9,walk
81_03,81_04,13,15.6,walk
81_04,81_03,13,15.6,walk
81_03,81_06,21,23.8,walk
81_06,81_03,21,23.8,walk
81_03,101_01,261,291.5,walk
101_01,81_03,261,291.5,walk
81_03,125_01,234,262.2,walk
125_01,81_03,234,262.2,walk
81_04,81_06,25,28.5,walk
81_06,81_04,25,28.5,walk
81_04,101_01,255,285.6,walk
101_01,81_04,255,285.6,walk
81_04,125_01,237,265.2,walk
125_01,81_04,237,265.2,walk
81_06,101_01,241,269.9,walk
101_01,81_06,241,269.9,walk
81_06,101_02,266,297.5,walk
101_02,81_06,266,297.5,walk
81_06,125_01,213,238.8,walk
125_01,81_06,213,238.8,walk
82_02,82_04,14,15.7,walk
82_04,82_02,14,15.7,walk
82_02,83_01,24,26.9,walk
83_01,82_02,24,26.9,walk
82_02,101_01,260,290.8,walk
101_01,82_02,260,290.8,walk
82_02,101_02,244,273.3,walk
101_02,82_02,244,273.3,walk
82_02,101_03,241,269.2,walk
101_03,82_02,241,269.2,walk
82_02,111_01,192,215.4,walk
111_01,82_02,192,215.4,walk
82_02,113_01,169,189.5,walk
113_01,82_02,169,189.5,walk
82_02,115_01,182,203.9,walk
115_01,82_02,182,203.9,walk
82_02,125_01,240,268.0,walk
125_01,82_02,240,268.0,walk
82_04,83_01,36,40.7,walk
83_01,82_04,36,40.7,walk
82_04,101_02,258,288.2,walk
101_02,82_04,258,288.2,walk
82_04,101_03,254,284.0,walk
101_03,82_04,254,284.0,walk
82_04,111_01,197,220.8,walk
111_01,82_04,197,220.8,walk
82_04,112_02,266,297.4,walk
112_02,82_04,266,297.4,walk
82_04,113_01,160,178.8,walk
113_01,82_04,160,178.8,walk
82_04,115_01,168,188.6,walk
115_01,82_04,168,188.6,walk
82_04,125_01,253,283.0,walk
125_01,82_04,253,283.0,walk
83_01,101_01,245,274.7,walk
